"mnb_date","ccy_name","ccy_full_name","unit","mnb_rate"
"330",2019-11-26,"GRD","Greek Drachma",100,NA
"331",2019-11-26,"HKD","Hong Kong Dollar",1,39.03
"332",2019-11-26,"HRK","Croatian Kuna",1,45.26
"333",2019-11-26,"HUF","Hungarian forint",1,NA
"334",2019-11-26,"IDR","Indonesian Rupiah",100,2.17
"335",2019-11-26,"IEP","Irish Pound",1,NA
"336",2019-11-26,"ILS","Israeli Shekel",1,87.95
"337",2019-11-26,"INR","Indian Rupee",1,4.27
"338",2019-11-26,"ISK","Icelandic Krona",1,2.49
"339",2019-11-26,"ITL","Italian Lira",1000,NA
"340",2019-11-26,"JPY","Japanese Yen",100,280.37
"341",2019-11-26,"KPW","North Korean Won",100,NA
"342",2019-11-26,"KRW","South Korean Won",100,25.96
"343",2019-11-26,"KWD","Kuwaiti Dinar",1,NA
"344",2019-11-26,"LBP","Lebanese Pound",100,NA
"345",2019-11-26,"LTL","Lithuanian litas",1,NA
"346",2019-11-26,"LUF","Luxembourg Franc",100,NA
"347",2019-11-26,"LVL","Latvian lats",1,NA
"348",2019-11-26,"MNT","Mongolian Tugrik",100,NA
"349",2019-11-26,"MXN","Mexican Peso",1,15.73
"350",2019-11-26,"MYR","Malaysian Ringgit",1,73.03
"351",2019-11-26,"NLG","Netherlands Guilder",1,NA
"352",2019-11-26,"NOK","Norwegian Krone",1,33.36
"353",2019-11-26,"NZD","New Zealand Dollar",1,196.09
"354",2019-11-26,"OAL","Alban Lek",100,NA
"355",2019-11-26,"OBL","Bulgarian Lev",100,NA
"356",2019-11-26,"OFR","French Franc",100,NA
"357",2019-11-26,"ORB","Ruble",100,NA
"358",2019-11-26,"PHP","Philippine Peso",1,6
"359",2019-11-26,"PKR","Pakistan Rupee",100,NA
"360",2019-11-26,"PLN","Polish Zloty",1,78.26
"361",2019-11-26,"PTE","Portuguese Escudo",100,NA
"362",2019-11-26,"ROL","Romanian Leu",100,NA
"363",2019-11-26,"RON","Romanian New Leu",1,70.44
"364",2019-11-26,"RSD","Serbian Dinar",1,2.86
"365",2019-11-26,"RUB","Russian Rubel",1,4.77
"366",2019-11-26,"SDP","Sudanese pound",1,NA
"367",2019-11-26,"SEK","Swedish Krona",1,31.8
"368",2019-11-26,"SGD","Singapore Dollar",1,223.57
"369",2019-11-26,"SIT","Slovenian Tolar",1,NA
"370",2019-11-26,"SKK","Slovak Koruna",1,NA
"371",2019-11-26,"SUR","New Ruble",100,NA
"372",2019-11-26,"THB","Thai Baht",1,10.11
"373",2019-11-26,"TRY","Turkish Lira",1,53.1
"374",2019-11-26,"UAH","Ukrainian Hryvnia",1,12.73
"375",2019-11-26,"USD","US Dollar",1,305.49
"376",2019-11-26,"VND","Vietnamese Dong",100,NA
"377",2019-11-26,"XEU","ECU",1,NA
"378",2019-11-26,"XTR","Tr/Cl Ruble",1,NA
"379",2019-11-26,"YUD","Yugoslavian Dinar",1,NA
"380",2019-11-26,"ZAR","South African Rand",1,20.66
"381",2019-11-25,"ATS","Austrian Schilling",1,NA
"382",2019-11-25,"AUD","Australian Dollar",1,206.53
"383",2019-11-25,"AUP","Australian Pound",1,NA
"384",2019-11-25,"BEF","Belgian Franc",100,NA
"385",2019-11-25,"BGL","Bulgarian Lev",100,NA
"386",2019-11-25,"BGN","Bulgarian Lev",1,171.31
"387",2019-11-25,"BRL","Brazilian real",1,72.49
"388",2019-11-25,"CAD","Canadian Dollar",1,228.84
"389",2019-11-25,"CHF","Swiss Franc",1,304.95
"390",2019-11-25,"CNY","Chinese yuan renminbi",1,43.24
"391",2019-11-25,"CSD","Serbian Dinar",1,NA
"392",2019-11-25,"CSK","Czechoslovakian Koruna",100,NA
"393",2019-11-25,"CYN","Chinese yuan",100,NA
"394",2019-11-25,"CZK","Czech Koruna",1,13.14
"395",2019-11-25,"DDM","DDR Mark",100,NA
"396",2019-11-25,"DEM","Deutsche Mark",1,NA
"397",2019-11-25,"DKK","Danish Krone",1,44.84
"398",2019-11-25,"EEK","Estonian kroon",1,NA
"399",2019-11-25,"EGP","Egyptian Pound",1,NA
